method,seed,front_index,is_selected,raw_f1_iv,raw_f2_deg,raw_f3_cta,constraint_aware_f1_iv,constraint_aware_f2_deg,constraint_aware_f3_cta,norm_f1_iv,norm_f2_deg,norm_f3_cta,normalized_average
Knowledge-constrained NSGA-II,42,44,False,0.11736005544662476,0.010521164163947105,0.23035211861133575,0.11736005544662476,0.010521164163947105,0.23035211861133575,0.13092703368371778,0.10045987927115359,0.1178157268131375,0.11640087992266962
Knowledge-constrained NSGA-II,42,45,False,0.09575655311346054,0.007521101739257574,0.38210201263427734,0.09575655311346054,0.007521101739257574,0.38210201263427734,0.10682613779630182,0.07181419859420014,0.1954296170864681,0.12468998449232337
Knowledge-constrained NSGA-II,42,46,False,0.14778319001197815,0.007011671084910631,0.3223281502723694,0.14778319001197815,0.007011671084910631,0.3223281502723694,0.16486712299982978,0.06694997052635114,0.16485772097780313,0.13222493816799466
Knowledge-constrained NSGA-II,42,47,False,0.06528232246637344,0.009376239962875843,0.3028140664100647,0.06528232246637344,0.009376239962875843,0.3028140664100647,0.07282904562356371,0.08952772906211336,0.15487706185823555,0.1057446121813042
Knowledge-constrained NSGA-II,42,48,False,0.068096823990345,0.009748149663209915,0.286977082490921,0.068096823990345,0.009748149663209915,0.286977082490921,0.07596890726072432,0.09307885734156367,0.14677708959746352,0.10527495139991716
Knowledge-constrained NSGA-II,42,49,False,0.0864974856376648,0.00737955654039979,0.42522478103637695,0.0864974856376648,0.00737955654039979,0.42522478103637695,0.0964967098263682,0.0704626738610921,0.21748515680590158,0.12814818016445395
Knowledge-constrained NSGA-II,42,50,False,0.14318320155143738,0.0063926829025149345,0.34445005655288696,0.14318320155143738,0.0063926829025149345,0.34445005655288696,0.15973536976551195,0.061039647571137993,0.17617217505204075,0.13231573079623024
Knowledge-constrained NSGA-II,42,51,False,0.0898880735039711,0.009202438406646252,0.2711614668369293,0.0898880735039711,0.009202438406646252,0.2711614668369293,0.1002792541519491,0.08786820896681878,0.13868804633402307,0.10894516981759698
Knowledge-constrained NSGA-II,42,52,False,0.1166701465845108,0.00879870355129242,0.28995999693870544,0.1166701465845108,0.00879870355129242,0.28995999693870544,0.13015737044110137,0.08401320260113666,0.1483027288483883,0.1208244339635421
Knowledge-constrained NSGA-II,42,53,False,0.1303779035806656,0.006818503141403198,0.38029608130455017,0.1303779035806656,0.006818503141403198,0.38029608130455017,0.14544976234679546,0.06510553316358181,0.19450595676387558,0.13502041742475093
